fill	x	y	key	showSelectedlegendfill	clickSelects	showSelected1	showSelected2	PANEL
transparent	0.0237343937624246	-0.0261154492469302	1 0.0237343937624246	sub-optimal	X1<0.023734	0	1	1
transparent	0.0248533471021801	-0.0310884114450971	1 0.0248533471021801	sub-optimal	X1<0.024853	0	1	1
transparent	0.030959413619712	-0.214752316397096	1 0.030959413619712	sub-optimal	X1<0.030959	0	1	1
transparent	0.0395219983765855	-0.0418853225848466	1 0.0395219983765855	sub-optimal	X1<0.039522	0	1	1
transparent	0.0435703630791977	-0.000588040777103061	1 0.0435703630791977	sub-optimal	X1<0.043570	0	1	1
transparent	0.0550734286662191	-0.0529107948427168	1 0.0550734286662191	sub-optimal	X1<0.055073	0	1	1
transparent	0.0655585838248953	-0.212923142580337	1 0.0655585838248953	sub-optimal	X1<0.065559	0	1	1
transparent	0.0704574675764889	-0.0641721775090218	1 0.0704574675764889	sub-optimal	X1<0.070457	0	1	1
transparent	0.0763374969828874	-0.218461560485906	1 0.0763374969828874	sub-optimal	X1<0.076337	0	1	1
transparent	0.078479875694029	-0.0756771389931146	1 0.078479875694029	sub-optimal	X1<0.078480	0	1	1
transparent	0.0821269832085818	-0.226149526841567	1 0.0821269832085818	sub-optimal	X1<0.082127	0	1	1
transparent	0.0860745509853587	-0.442023342361011	1 0.0860745509853587	sub-optimal	X1<0.086075	0	1	1
transparent	0.0900922525906935	-0.713608458672638	1 0.0900922525906935	sub-optimal	X1<0.090092	0	1	1
transparent	0.0970493158092722	-0.442595044895285	1 0.0970493158092722	sub-optimal	X1<0.097049	0	1	1
transparent	0.103078606305644	-0.701447113551978	1 0.103078606305644	sub-optimal	X1<0.103079	0	1	1
transparent	0.107819334021769	-0.446305854069948	1 0.107819334021769	sub-optimal	X1<0.107819	0	1	1
transparent	0.11281948746182	-0.695093981268002	1 0.11281948746182	sub-optimal	X1<0.112819	0	1	1
transparent	0.11519660113845	-0.986909343570403	1 0.11519660113845	sub-optimal	X1<0.115197	0	1	1
transparent	0.116796790622175	-0.693121769262717	1 0.116796790622175	sub-optimal	X1<0.116797	0	1	1
transparent	0.123480718466453	-0.97469369277664	1 0.123480718466453	sub-optimal	X1<0.123481	0	1	1
transparent	0.128917979658581	-1.29355274490374	1 0.128917979658581	sub-optimal	X1<0.128918	0	1	1
transparent	0.129889608710073	-1.64673667252575	1 0.129889608710073	sub-optimal	X1<0.129890	0	1	1
transparent	0.131496121990494	-1.2766711295366	1 0.131496121990494	sub-optimal	X1<0.131496	0	1	1
transparent	0.135558155016042	-1.61886566279276	1 0.135558155016042	sub-optimal	X1<0.135558	0	1	1
