group	colour	showSelectedlegendcolour
1	#000000	FALSE
2	#000000	FALSE
3	#000000	FALSE
4	#000000	FALSE
5	#FFFFFF	TRUE
6	#FFFFFF	TRUE
7	#FFFFFF	TRUE
8	#FFFFFF	TRUE
9	#FFFFFF	TRUE
10	#FFFFFF	TRUE
11	#000000	FALSE
12	#000000	FALSE
13	#FFFFFF	TRUE
14	#000000	FALSE
15	#FFFFFF	TRUE
16	#FFFFFF	TRUE
17	#000000	FALSE
18	#000000	FALSE
19	#FFFFFF	TRUE
20	#FFFFFF	TRUE
21	#FFFFFF	TRUE
22	#000000	FALSE
23	#FFFFFF	TRUE
24	#FFFFFF	TRUE
25	#000000	FALSE
26	#FFFFFF	TRUE
27	#000000	FALSE
28	#FFFFFF	TRUE
29	#FFFFFF	TRUE
30	#FFFFFF	TRUE
31	#FFFFFF	TRUE
32	#000000	FALSE
33	#FFFFFF	TRUE
34	#FFFFFF	TRUE
35	#FFFFFF	TRUE
36	#FFFFFF	TRUE
37	#FFFFFF	TRUE
38	#FFFFFF	TRUE
39	#FFFFFF	TRUE
40	#FFFFFF	TRUE
41	#FFFFFF	TRUE
42	#FFFFFF	TRUE
43	#FFFFFF	TRUE
44	#000000	FALSE
45	#FFFFFF	TRUE
46	#FFFFFF	TRUE
47	#FFFFFF	TRUE
48	#000000	FALSE
49	#FFFFFF	TRUE
50	#FFFFFF	TRUE
51	#000000	FALSE
52	#FFFFFF	TRUE
53	#FFFFFF	TRUE
54	#FFFFFF	TRUE
55	#000000	FALSE
56	#FFFFFF	TRUE
57	#FFFFFF	TRUE
58	#FFFFFF	TRUE
59	#FFFFFF	TRUE
60	#FFFFFF	TRUE
61	#FFFFFF	TRUE
62	#FFFFFF	TRUE
63	#FFFFFF	TRUE
64	#000000	FALSE
65	#FFFFFF	TRUE
66	#FFFFFF	TRUE
67	#FFFFFF	TRUE
68	#FFFFFF	TRUE
69	#000000	FALSE
70	#000000	FALSE
71	#000000	FALSE
72	#000000	FALSE
73	#000000	FALSE
74	#000000	FALSE
75	#000000	FALSE
76	#FFFFFF	TRUE
77	#000000	FALSE
78	#000000	FALSE
79	#FFFFFF	TRUE
80	#FFFFFF	TRUE
81	#FFFFFF	TRUE
82	#FFFFFF	TRUE
83	#FFFFFF	TRUE
84	#FFFFFF	TRUE
85	#FFFFFF	TRUE
86	#FFFFFF	TRUE
87	#FFFFFF	TRUE
88	#000000	FALSE
89	#FFFFFF	TRUE
90	#FFFFFF	TRUE
91	#FFFFFF	TRUE
92	#FFFFFF	TRUE
93	#000000	FALSE
94	#FFFFFF	TRUE
95	#000000	FALSE
96	#FFFFFF	TRUE
97	#FFFFFF	TRUE
98	#000000	FALSE
99	#000000	FALSE
100	#FFFFFF	TRUE
101	#000000	FALSE
102	#FFFFFF	TRUE
103	#FFFFFF	TRUE
104	#000000	FALSE
105	#000000	FALSE
106	#FFFFFF	TRUE
107	#FFFFFF	TRUE
108	#FFFFFF	TRUE
109	#FFFFFF	TRUE
110	#FFFFFF	TRUE
111	#FFFFFF	TRUE
112	#FFFFFF	TRUE
113	#000000	FALSE
114	#FFFFFF	TRUE
115	#FFFFFF	TRUE
116	#FFFFFF	TRUE
117	#FFFFFF	TRUE
118	#FFFFFF	TRUE
119	#FFFFFF	TRUE
120	#FFFFFF	TRUE
121	#000000	FALSE
122	#FFFFFF	TRUE
123	#FFFFFF	TRUE
124	#FFFFFF	TRUE
125	#FFFFFF	TRUE
126	#FFFFFF	TRUE
127	#FFFFFF	TRUE
128	#FFFFFF	TRUE
129	#000000	FALSE
130	#FFFFFF	TRUE
131	#FFFFFF	TRUE
132	#FFFFFF	TRUE
133	#000000	FALSE
134	#FFFFFF	TRUE
135	#FFFFFF	TRUE
136	#FFFFFF	TRUE
137	#FFFFFF	TRUE
138	#FFFFFF	TRUE
139	#FFFFFF	TRUE
140	#FFFFFF	TRUE
141	#000000	FALSE
142	#000000	FALSE
143	#FFFFFF	TRUE
144	#FFFFFF	TRUE
145	#FFFFFF	TRUE
146	#FFFFFF	TRUE
147	#FFFFFF	TRUE
148	#000000	FALSE
149	#FFFFFF	TRUE
150	#FFFFFF	TRUE
151	#FFFFFF	TRUE
152	#000000	FALSE
153	#FFFFFF	TRUE
154	#FFFFFF	TRUE
155	#000000	FALSE
156	#FFFFFF	TRUE
157	#FFFFFF	TRUE
158	#000000	FALSE
159	#FFFFFF	TRUE
160	#000000	FALSE
161	#000000	FALSE
162	#000000	FALSE
163	#FFFFFF	TRUE
164	#FFFFFF	TRUE
165	#000000	FALSE
166	#FFFFFF	TRUE
167	#FFFFFF	TRUE
168	#000000	FALSE
169	#000000	FALSE
170	#FFFFFF	TRUE
171	#FFFFFF	TRUE
172	#FFFFFF	TRUE
173	#000000	FALSE
174	#FFFFFF	TRUE
175	#000000	FALSE
176	#FFFFFF	TRUE
177	#FFFFFF	TRUE
178	#FFFFFF	TRUE
179	#FFFFFF	TRUE
180	#FFFFFF	TRUE
181	#FFFFFF	TRUE
182	#FFFFFF	TRUE
183	#FFFFFF	TRUE
184	#FFFFFF	TRUE
185	#FFFFFF	TRUE
186	#000000	FALSE
187	#FFFFFF	TRUE
188	#FFFFFF	TRUE
189	#FFFFFF	TRUE
190	#000000	FALSE
191	#000000	FALSE
192	#000000	FALSE
193	#000000	FALSE
194	#FFFFFF	TRUE
195	#FFFFFF	TRUE
196	#FFFFFF	TRUE
197	#FFFFFF	TRUE
198	#FFFFFF	TRUE
199	#FFFFFF	TRUE
200	#000000	FALSE
